
Disease_id,Disease,Symptom_1,Symp1_weight,Symptom_2,Symp2_weight,Symptom_3,Symp3_weight,Symptom_4,Symp4_weight,Symptom_5,Symp5_weight,Symptom_6,Symp6_weight,Symptom_7,Symp7_weight,Symptom_8,Symp8_weight,Symptom_9,Symp9_weight,Symptom_10,Symp10_weight,Symptom_11,Symp11_weight,Symptom_12,Symp12_weight,Symptom_13,Symp13_weight,Symptom_14,Symp14_weight,Symptom_15,Symp15_weight,Symptom_16,Symp16_weight,Symptom_17,Symp17_weight,Send_to_Doctor
D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
